,id,indicator,m_cp,Название на русском
448,PRT,n_sdg2_undernsh,1,Португалия
449,IRL,n_sdg2_undernsh,1,Ирландия
450,DNK,n_sdg2_undernsh,1,Дания
451,FIN,n_sdg2_undernsh,1,Финляндия
452,EST,n_sdg2_undernsh,1,Эстония
453,NLD,n_sdg2_undernsh,1,Нидерланды
454,NOR,n_sdg2_undernsh,1,Норвегия
455,SWE,n_sdg2_undernsh,1,Швеция
456,AFG,n_sdg2_stunting,0,Афганистан
457,ARE,n_sdg2_stunting,1,ОАЭ
458,AZE,n_sdg2_stunting,0,Азербайджан
459,BGD,n_sdg2_stunting,0,Бангладеш
460,BLR,n_sdg2_stunting,1,Беларусь
461,BTN,n_sdg2_stunting,0,Бутан
462,CHN,n_sdg2_stunting,1,КНР
463,DJI,n_sdg2_stunting,0,Джибути
464,EGY,n_sdg2_stunting,0,Египет
465,ERI,n_sdg2_stunting,0,Эритрея
466,ETH,n_sdg2_stunting,0,Эфиопия
467,HND,n_sdg2_stunting,0,Гондурас
468,IND,n_sdg2_stunting,0,Индия
469,IRN,n_sdg2_stunting,1,Иран
470,IRQ,n_sdg2_stunting,0,Ирак
471,JOR,n_sdg2_stunting,0,Иордания
472,KAZ,n_sdg2_stunting,0,Казахстан
473,KGZ,n_sdg2_stunting,0,Кыргызстан 
474,KHM,n_sdg2_stunting,0,Камбоджа
475,LAO,n_sdg2_stunting,0,Лаос
476,LKA,n_sdg2_stunting,0,Шри-Ланка
477,MMR,n_sdg2_stunting,0,Мьянма
478,NIC,n_sdg2_stunting,0,Никарагуа
479,PAK,n_sdg2_stunting,0,Пакистан
480,PRK,n_sdg2_stunting,0,Корея (КНДР)
481,RUS,n_sdg2_stunting,1,Россия
482,RWA,n_sdg2_stunting,0,Руанда
483,SAU,n_sdg2_stunting,0,Саудовская Аравия
484,SDN,n_sdg2_stunting,0,Судан
485,SYR,n_sdg2_stunting,0,Сирия
486,TJK,n_sdg2_stunting,0,Таджикистан
487,TKM,n_sdg2_stunting,1,Туркменистан
488,UGA,n_sdg2_stunting,0,Уганда
489,UZB,n_sdg2_stunting,1,Узбекистан
490,VEN,n_sdg2_stunting,0,Венесуэла
491,VNM,n_sdg2_stunting,0,Вьетнам
492,YEM,n_sdg2_stunting,0,Йеменская Арабская Республика
493,GTM,n_sdg2_stunting,0,Гватемала
494,LBY,n_sdg2_stunting,0,Ливия
495,SOM,n_sdg2_stunting,0,Сомали
496,SLV,n_sdg2_stunting,0,Эль-Сальвадор
497,OMN,n_sdg2_stunting,0,Оман
498,COD,n_sdg2_stunting,0,Демократическая Республика Конго
499,LBN,n_sdg2_stunting,1,Ливан
500,CMR,n_sdg2_stunting,0,Камерун
501,PER,n_sdg2_stunting,0,Перу
502,TUN,n_sdg2_stunting,0,Тунис
503,KWT,n_sdg2_stunting,1,Кувейт
504,IDN,n_sdg2_stunting,0,Индонезия
505,DZA,n_sdg2_stunting,0,Алжир
506,BDI,n_sdg2_stunting,0,Бурунди
507,MEX,n_sdg2_stunting,0,Мексика
508,SGP,n_sdg2_stunting,1,Сингапур
509,NGA,n_sdg2_stunting,0,Нигерия
510,TGO,n_sdg2_stunting,0,Того
511,MAR,n_sdg2_stunting,0,Марокко
512,MLI,n_sdg2_stunting,0,Мали
513,GNQ,n_sdg2_stunting,0,Экватор. Гвинея
514,KEN,n_sdg2_stunting,0,Кения
515,PHL,n_sdg2_stunting,0,Филиппины
